,Timestamp,Your initials,Lab,Short Project Name (max 10 char),Minimum Time Scale,Maximum Time Scale,Minimum Spatial Scale,Maximum Spatial Scale,What concept does your research address?,What question are you trying to answer with your research?,Color
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,2/7/2025 9:34:30,P03,Lab D,Patchy,1.00E+02: ~2 minutes,1.00E+09: ~31 years,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E+18: cubic Mm (~oceanic volume),,,
7,2/7/2025 9:35:11,P14,Lab D,Bact<->POM,1.00E+01: 10s of seconds,1.00E+08: ~3 years,1.00E-15: 10 cubic µm (typical yeast cell volume),1.00E+03: deka (da),Bacteria impacts on particle breakdown,How do bacterial degraders influence particle export,
8,2/7/2025 9:35:18,P01,Lab F,V burst ,1.00E+02: ~2 minutes,1.00E+06: ~12 days,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E-6: 1 cubic cm (1 milliliter),,,
9,2/7/2025 9:35:39,P21,Lab F,Phage,1.00E+01: 10s of seconds,1.00E+03: ~3 hours,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E-3: 1 cubic dm (1 liter),Bacteriophage dynamics,how phage infection alters microbial communities,
10,2/7/2025 9:36:21,P15,Lab A,DaMP,1.00E+0: one second,1.00E+07: ~3 months,1.00E-21: 100 cubic nm (large virus volume),1.00E-15: 10 cubic µm (typical yeast cell volume),Microbial Interactions in Phytoplankton,What Planctomycetes are doing with Diatoms.,
11,2/7/2025 9:36:35,P16,Lab D,CarboPAM,1.00E+02: ~2 minutes,1.00E+07: ~3 months,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E+18: cubic Mm (~oceanic volume),Rates of carbohydrate degradation,Which carbohydrates make it to the deep ocean?,
12,2/7/2025 9:36:36,P10,Lab C,OAS X-Feed,1.00E+0: one second,1.00E+02: ~2 minutes,1.00E-21: 100 cubic nm (large virus volume),1.00E-6: 1 cubic cm (1 milliliter),Metabolic Dynamics,How does bacterial metabolism respond to and manage organic acid stress?,
13,2/7/2025 9:36:53,P07,Lab C,GEM-Phys,1.00E+02: ~2 minutes,1.00E+06: ~12 days,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E-6: 1 cubic cm (1 milliliter),Cell physiology/bioinformatics/modeling,Cell adaptation to conditions/environments,
14,2/7/2025 9:36:59,P22,Lab F,GlowPhage ,1.00E-01: deci (d),1.00E+06: ~12 days,1.00E-27: 1 cubic nm (small virus volume),1.00E-3: 1 cubic dm (1 liter),Identity and # of newly produced ocean viruses ,Dynamics of active phages and their hosts in ocean,
